episode,return,length,best_return,total_steps,elapsed_sec
1,102.80,5835,102.80,5835,93.4
2,46.58,3001,102.80,8836,142.0
3,53.11,3395,102.80,12231,195.8
4,130.99,7158,130.99,19389,311.2
5,71.34,4342,130.99,23731,380.9
6,26.75,1934,130.99,25665,412.1
7,56.97,3470,130.99,29135,468.1
8,9.80,1176,130.99,30311,486.4
9,122.41,6737,130.99,37048,595.1
10,4.37,871,130.99,37919,608.7
11,46.19,2941,130.99,40860,655.3
12,17.90,1569,130.99,42429,680.7
13,81.84,4752,130.99,47181,757.5
14,84.79,4887,130.99,52068,835.3
15,93.29,5362,130.99,57430,921.6
16,9.77,1133,130.99,58563,939.2
17,111.12,6204,130.99,64767,1038.6
18,91.34,5214,130.99,69981,1122.7
19,9.69,1144,130.99,71125,1140.5
20,3.50,766,130.99,71891,1153.5
21,169.49,8993,169.49,80884,1296.6
22,96.78,5612,169.49,86496,1387.6
23,57.14,3617,169.49,90113,1442.6
24,72.75,4260,169.49,94373,1511.0
25,199.72,10369,199.72,104742,1677.1
26,38.61,2621,199.72,107363,1718.9
27,50.85,3230,199.72,110593,1771.3
28,105.02,5935,199.72,116528,1865.4
29,124.10,6803,199.72,123331,1975.0
30,62.24,3729,199.72,127060,2035.1
31,89.57,5146,199.72,132206,2117.1
32,142.40,7689,199.72,139895,2240.5
33,68.80,4126,199.72,144021,2306.8
34,68.66,4051,199.72,148072,2371.9
35,73.35,4362,199.72,152434,2441.8
36,159.04,8444,199.72,160878,2576.8
37,93.38,5308,199.72,166186,2662.3
38,38.24,2645,199.72,168831,2704.6
39,112.34,6246,199.72,175077,2804.6
40,38.16,2536,199.72,177613,2845.0
41,70.05,4213,199.72,181826,2912.4
42,95.14,5489,199.72,187315,3000.9
43,152.93,8214,199.72,195529,3132.7
44,126.28,7004,199.72,202533,3244.5
45,179.44,9629,199.72,212162,3398.9
46,114.32,6446,199.72,218608,3502.1
47,58.22,3668,199.72,222276,3561.1
48,171.64,9087,199.72,231363,3706.1
49,4.39,854,199.72,232217,3720.4
50,108.29,6083,199.72,238300,3818.1
51,243.27,12422,243.27,250722,4016.8
52,92.28,5257,243.27,255979,4100.9
53,235.72,12187,243.27,268166,4295.6
54,174.12,9236,243.27,277402,4443.6
55,66.30,3915,243.27,281317,4506.4
56,49.26,3151,243.27,284468,4557.0
57,57.57,3502,243.27,287970,4613.5
58,209.87,10856,243.27,298826,4786.6
59,188.64,9928,243.27,308754,4946.0
60,157.51,8451,243.27,317205,5081.5
61,74.45,4333,243.27,321538,5151.9
62,198.34,10239,243.27,331777,5316.5
63,69.85,4231,243.27,336008,5384.7
64,198.91,10397,243.27,346405,5550.9
65,14.11,1388,243.27,347793,5572.4
66,41.49,2710,243.27,350503,5616.8
67,44.14,2917,243.27,353420,5663.3
68,168.19,9003,243.27,362423,5807.0
69,181.99,9522,243.27,371945,5959.7
70,109.87,6201,243.27,378146,6059.0
71,69.96,4133,243.27,382279,6125.5
72,82.40,5575,243.27,387854,6188.0
73,111.46,6200,243.27,394054,6287.5
74,50.15,3158,243.27,397212,6337.8
75,142.34,7560,243.27,404772,6459.4
76,106.92,6026,243.27,410798,6556.4
77,120.36,6631,243.27,417429,6662.8
78,135.51,7428,243.27,424857,6783.0
79,112.82,6753,243.27,431610,6877.9
80,227.64,15363,243.27,446973,7013.5
81,237.31,17009,243.27,463982,7137.8
82,271.83,19464,271.83,483446,7281.0
83,204.34,14867,271.83,498313,7389.8
84,198.37,14470,271.83,512783,7496.0
85,219.85,16003,271.83,528786,7613.5
86,215.14,15571,271.83,544357,7727.2
87,171.66,12700,271.83,557057,7821.0
88,205.54,15229,271.83,572286,7932.3
89,30.84,2962,271.83,575248,7953.6
90,240.58,17237,271.83,592485,8080.6
91,208.24,15131,271.83,607616,8191.2
92,157.84,11777,271.83,619393,8277.9
93,143.68,10675,271.83,630068,8356.3
94,105.92,8179,271.83,638247,8416.3
95,181.13,13346,271.83,651593,8514.6
96,219.60,16056,271.83,667649,8632.4
97,108.12,8346,271.83,675995,8693.6
98,233.07,16866,271.83,692861,8817.2
99,320.35,22722,320.35,715583,8983.7
100,179.89,13161,320.35,728744,9079.9
101,230.27,16744,320.35,745488,9203.5
102,121.10,9175,320.35,754663,9270.4
103,78.81,6283,320.35,760946,9316.4
104,183.68,13540,320.35,774486,9415.9
105,150.31,11140,320.35,785626,9497.2
106,125.22,9509,320.35,795135,9567.3
107,58.06,4827,320.35,799962,9602.4
108,166.79,12329,320.35,812291,9692.8
109,241.40,17218,320.35,829509,9819.5
110,23.20,2495,320.35,832004,9837.6
111,228.44,16500,320.35,848504,9958.5
112,77.78,6342,320.35,854846,10005.0
113,190.16,13868,320.35,868714,10106.8
114,41.16,3735,320.35,872449,10134.4
115,248.18,17858,320.35,890307,10264.6
116,240.03,17240,320.35,907547,10391.5
117,200.18,14672,320.35,922219,10499.0
118,215.32,15766,320.35,937985,10614.9
119,229.31,16608,320.35,954593,10736.5
120,233.55,16878,320.35,971471,10860.1
121,31.86,3083,320.35,974554,10882.3
122,194.85,14199,320.35,988753,10986.6
123,59.47,4966,320.35,993719,11023.5
124,100.51,7754,320.35,1001473,11080.5
125,236.94,17117,320.35,1018590,11205.7
126,141.77,10566,320.35,1029156,11283.0
127,169.51,12502,320.35,1041658,11374.6
128,14.98,1874,320.35,1043532,11388.5
129,99.72,7677,320.35,1051209,11445.0
130,288.81,20625,320.35,1071834,11596.0
131,120.31,9218,320.35,1081052,11663.2
132,72.58,5879,320.35,1086931,11706.5
133,171.65,12716,320.35,1099647,11799.5
134,67.38,5439,320.35,1105086,11839.8
135,54.82,4670,320.35,1109756,11873.8
136,77.62,6164,320.35,1115920,11919.0
137,100.28,7853,320.35,1123773,11976.7
138,156.44,11734,320.35,1135507,12063.2
139,24.27,2482,320.35,1137989,12081.2
140,226.39,16367,320.35,1154356,12201.3
141,92.52,7231,320.35,1161587,12254.8
142,58.85,4944,320.35,1166531,12290.7
143,84.95,6716,320.35,1173247,12339.7
144,14.81,1856,320.35,1175103,12353.5
145,212.82,15502,320.35,1190605,12467.7
146,33.19,3197,320.35,1193802,12490.7
147,225.56,16351,320.35,1210153,12610.7
148,81.33,6354,320.35,1216507,12657.1
149,124.43,9430,320.35,1225937,12726.6
150,141.58,10567,320.35,1236504,12804.1
151,73.43,5945,320.35,1242449,12847.8
152,98.00,7493,320.35,1249942,12903.0
153,181.90,13486,320.35,1263428,13001.4
154,20.92,2289,320.35,1265717,13019.0
155,178.54,13327,320.35,1279044,13116.2
156,115.43,8953,320.35,1287997,13181.6
157,87.83,6907,320.35,1294904,13232.8
158,181.86,13419,320.35,1308323,13330.7
159,302.53,21421,320.35,1329744,13488.1
160,121.47,9374,320.35,1339118,13556.4
161,190.25,13858,320.35,1352976,13658.3
162,59.38,4917,320.35,1357893,13694.9
163,158.38,11808,320.35,1369701,13780.8
164,81.91,6553,320.35,1376254,13828.7
165,19.13,2110,320.35,1378364,13845.1
166,59.62,4943,320.35,1383307,13880.9
167,8.40,1394,320.35,1384701,13891.5
168,199.75,14648,320.35,1399349,13998.8
169,10.30,1505,320.35,1400854,14010.1
170,103.70,7993,320.35,1408847,14067.9
171,207.22,15065,320.35,1423912,14179.0
172,110.01,8498,320.35,1432410,14241.2
173,123.36,9383,320.35,1441793,14310.4
174,11.70,1684,320.35,1443477,14322.0
175,66.24,5405,320.35,1448882,14362.0
176,106.86,8193,320.35,1457075,14422.2
177,52.95,4615,320.35,1461690,14455.8
178,172.12,12662,320.35,1474352,14548.6
179,159.16,11745,320.35,1486097,14634.9
180,132.61,9968,320.35,1496065,14708.2
181,85.62,6725,320.35,1502790,14757.3
182,224.82,16157,320.35,1518947,14875.9
183,144.32,10910,320.35,1529857,14956.4
184,179.94,13044,320.35,1542901,15051.8
185,213.53,15628,320.35,1558529,15166.7
186,175.91,12982,320.35,1571511,15261.6
187,271.26,19296,320.35,1590807,15402.6
188,54.07,4586,320.35,1595393,15436.9
189,114.35,8762,320.35,1604155,15500.9
