episode,return,length,best_return,total_steps,elapsed_sec
1,230.50,11265,230.50,11265,93.6
2,104.60,5120,230.50,16385,176.3
3,106.40,5200,230.50,21585,260.2
4,186.06,8643,230.50,30228,378.0
5,152.80,7050,230.50,37278,490.2
6,145.76,6783,230.50,44061,598.8
7,177.90,8085,230.50,52146,727.2
8,190.26,8528,230.50,60674,863.5
9,330.18,15689,330.18,76363,993.5
10,322.22,15516,330.18,91879,1107.7
11,272.62,13296,330.18,105175,1205.5
12,315.36,15188,330.18,120363,1317.0
13,410.98,19469,410.98,139832,1460.2
14,180.95,9028,410.98,148860,1536.2
15,21.57,1804,410.98,150664,1565.1
16,40.24,2532,410.98,153196,1605.4
17,264.47,11484,410.98,164680,1788.4
18,76.70,4030,410.98,168710,1852.7
19,44.38,2714,410.98,171424,1896.3
20,81.66,4208,410.98,175632,1963.4
21,113.94,5512,410.98,181144,2051.1
22,114.72,5541,410.98,186685,2140.2
23,150.16,6938,410.98,193623,2251.5
24,213.84,9477,410.98,203100,2402.6
25,93.32,4701,410.98,207801,2477.5
26,43.92,2701,410.98,210502,2520.9
27,335.10,15940,410.98,226442,2649.0
28,341.48,16104,410.98,242546,2785.4
29,373.82,17551,410.98,260097,2932.7
30,252.36,12288,410.98,272385,3028.2
31,279.24,13562,410.98,285947,3128.7
32,373.85,17388,410.98,303335,3287.1
33,197.10,9330,410.98,312665,3395.7
34,263.36,12573,410.98,325238,3507.8
35,319.30,15390,410.98,340628,3620.6
36,44.50,3045,410.98,343673,3642.9
37,480.11,22521,480.11,366194,3812.6
38,274.56,13148,480.11,379342,3925.3
39,259.61,11926,480.11,391268,4066.2
40,182.90,8255,480.11,399523,4198.3
41,189.84,8537,480.11,408060,4334.7
42,150.15,6928,480.11,414988,4445.8
43,254.24,11082,480.11,426070,4622.8
44,218.02,10316,480.11,436386,4733.0
45,193.00,8745,480.11,445131,4867.1
46,122.55,5853,480.11,450984,4960.7
47,162.91,7481,480.11,458465,5080.1
48,123.46,5898,480.11,464363,5174.4
49,208.63,9382,480.11,473745,5315.5
50,320.75,15318,480.11,489063,5437.6
51,315.85,15208,480.11,504271,5548.9
52,193.95,9753,480.11,514024,5620.3
53,134.71,7096,480.11,521120,5672.4
54,340.06,16333,480.11,537453,5791.8
55,394.51,18746,480.11,556199,5929.9
56,8.78,1429,480.11,557628,5940.2
57,221.44,10977,480.11,568605,6020.5
58,271.02,13216,480.11,581821,6117.3
59,360.69,17220,480.11,599041,6243.2
60,305.66,14783,480.11,613824,6351.2
61,312.76,15053,480.11,628877,6461.4
62,334.32,16076,480.11,644953,6578.7
63,269.19,13115,480.11,658068,6674.7
64,217.20,10815,480.11,668883,6754.0
65,269.70,13155,480.11,682038,6850.2
66,184.76,9358,480.11,691396,6918.5
67,306.08,14794,480.11,706190,7026.5
68,125.62,6696,480.11,712886,7075.7
69,262.90,12875,480.11,725761,7169.6
70,39.78,2804,480.11,728565,7190.2
71,7.12,1381,480.11,729946,7200.2
72,19.36,1918,480.11,731864,7214.3
73,40.50,2845,480.11,734709,7235.3
74,41.86,2903,480.11,737612,7256.7
75,246.16,12123,480.11,749735,7345.4
76,297.64,14402,480.11,764137,7450.7
77,494.41,23231,494.41,787368,7620.4
78,321.19,15460,494.41,802828,7733.8
79,462.08,21789,494.41,824617,7893.1
80,326.18,15709,494.41,840326,8007.8
81,303.80,14700,494.41,855026,8115.2
82,392.29,18645,494.41,873671,8251.9
83,172.74,8827,494.41,882498,8316.2
84,211.04,10532,494.41,893030,8393.5
85,225.25,11163,494.41,904193,8475.2
86,119.36,6403,494.41,910596,8521.9
87,307.28,14859,494.41,925455,8630.4
88,206.96,10338,494.41,935793,8706.1
89,269.97,13169,494.41,948962,8802.5
90,366.50,17495,494.41,966457,8930.3
91,258.00,12640,494.41,979097,9023.0
92,394.28,18754,494.41,997851,9159.9
93,96.40,5405,494.41,1003256,9199.3
94,143.31,7466,494.41,1010722,9254.3
95,181.06,9183,494.41,1019905,9321.5
96,264.26,12938,494.41,1032843,9415.9
97,305.94,14787,494.41,1047630,9524.3
98,16.66,1798,494.41,1049428,9537.2
99,301.28,14584,494.41,1064012,9644.1
100,385.34,18357,494.41,1082369,9778.3
101,162.59,8345,494.41,1090714,9839.3
102,191.72,9651,494.41,1100365,9909.8
103,259.68,12724,494.41,1113089,10003.1
104,502.64,23582,502.64,1136671,10175.5
105,283.34,13757,502.64,1150428,10275.9
106,383.14,18252,502.64,1168680,10409.7
107,379.50,18085,502.64,1186765,10541.6
108,91.22,5141,502.64,1191906,10579.2
109,121.78,6519,502.64,1198425,10627.1
110,136.96,7203,502.64,1205628,10679.8
111,25.72,2176,502.64,1207804,10695.7
112,253.38,12419,502.64,1220223,10786.4
113,289.46,14048,502.64,1234271,10889.3
114,300.20,14520,502.64,1248791,10995.3
115,323.50,15595,502.64,1264386,11109.1
116,492.82,23156,502.64,1287542,11278.6
117,275.52,13426,502.64,1300968,11376.8
118,126.60,6745,502.64,1307713,11426.2
119,190.74,9607,502.64,1317320,11496.4
120,201.86,10133,502.64,1327453,11570.6
121,40.00,2820,502.64,1330273,11591.3
122,18.86,1908,502.64,1332181,11604.9
123,289.74,14067,502.64,1346248,11708.0
124,279.56,13638,502.64,1359886,11807.9
125,308.36,14918,502.64,1374804,11916.8
126,389.24,18492,502.64,1393296,12052.0
127,298.08,14429,502.64,1407725,12157.4
128,353.78,16949,502.64,1424674,12281.7
129,331.04,15897,502.64,1440571,12397.8
130,317.88,15314,502.64,1455885,12509.8
131,90.68,5119,502.64,1461004,12547.2
132,232.52,11511,502.64,1472515,12631.8
133,412.04,19532,502.64,1492047,12774.5
134,202.54,10162,502.64,1502209,12848.9
135,19.97,1959,502.64,1504168,12862.9
136,295.00,14310,502.64,1518478,12967.5
137,346.82,16606,502.64,1535084,13089.4
138,380.04,18122,502.64,1553206,13221.6
139,337.94,16242,502.64,1569448,13340.3
140,319.58,15389,502.64,1584837,13452.9
141,488.34,22942,502.64,1607779,13620.9
142,428.44,20277,502.64,1628056,13768.9
143,313.54,15092,502.64,1643148,13879.2
144,269.22,13116,502.64,1656264,13975.3
145,406.08,19244,502.64,1675508,14116.2
146,275.17,13424,502.64,1688932,14214.4
147,452.60,21340,502.64,1710272,14370.5
148,330.81,15886,502.64,1726158,14486.4
149,290.54,14087,502.64,1740245,14589.6
150,308.04,14892,502.64,1755137,14698.7
151,418.18,19819,502.64,1774956,14843.6
152,354.92,17001,502.64,1791957,14967.6
153,317.72,15306,502.64,1807263,15079.6
154,429.41,20301,502.64,1827564,15228.1
155,278.98,13589,502.64,1841153,15327.7
156,467.38,21989,502.64,1863142,15488.5
157,426.50,20165,502.64,1883307,15636.0
158,322.70,15555,502.64,1898862,15749.7
159,307.57,14864,502.64,1913726,15858.5
160,345.18,16519,502.64,1930245,15979.6
161,272.96,13308,502.64,1943553,16076.8
162,304.26,14713,502.64,1958266,16184.2
163,268.32,13086,502.64,1971352,16280.1
164,227.84,11297,502.64,1982649,16362.6
165,267.70,13075,502.64,1995724,16457.9
